,geom_factor,mag_field_response
0,-0.0005036347222881765,0.000307050886112048
1,0.028853478722224907,-0.006525870670404554
2,0.059580343992017865,-0.009137881883403809
3,0.0903072092618109,-0.011749893096403508
4,0.11397625948274498,-0.0017704423433269056
5,0.13479256742845383,0.018019195134698185
6,0.13874503096244914,0.0559539364279944
7,0.14660640471326078,0.13884342186534893
8,0.1570679114996595,0.2526387371121773
9,0.1729561616065631,0.39174169715398854
10,0.1903535341537195,0.5126015584168764
11,0.2040510524065188,0.5548106618520454
12,0.215061330989373,0.5801539411792653
13,0.2275023360415578,0.5998901268589347
14,0.24276124071522467,0.6154321280942651
15,0.2594247398679147,0.6295790373925023
16,0.27751896548993527,0.6381188530431889
17,0.29843980139687365,0.6410604836793842
18,0.32079136377314266,0.6383950206680287
19,0.34458236328217795,0.6287184634389698
20,0.362833380846043,0.6119862688269111
21,0.38111053040021536,0.5910420725043948
22,0.4007661424431035,0.5729147859552429
23,0.4176386975182529,0.5533656815698198
24,0.4289277173310526,0.5337809426521594
25,0.4471961562217893,0.5142407468997956
26,0.46128565432919977,0.4932698246781012
27,0.47814949874091317,0.47512472086283075
28,0.49081698104242877,0.45835689171853466
29,0.507689536117578,0.43880778733311143
30,0.5245533805292916,0.42066268351784086
31,0.5414259356044409,0.40111357913241774
32,0.55966824250487,0.38578538509051163
33,0.5737141872951014,0.37183446571958
34,0.5891473052374844,0.35929645555185996
35,0.6074157441282209,0.3397562597994962
36,0.6284498186598249,0.3244458830237088
37,0.6508797770070159,0.30914441488098054
38,0.6691046625805736,0.29662422197937943
39,0.6901300264487417,0.28271784577374437
40,0.7097507958378866,0.2702065615052025
41,0.7293802758904674,0.2562912766665081
42,0.7503795077683278,0.24659690217133068
43,0.7741879286042349,0.23411234380196688
44,0.8007881170713166,0.2216456026987217
45,0.8259924217228106,0.20916995296241736
46,0.8511880157108693,0.19809830379626536
47,0.8777707828510791,0.18843956383332527
48,0.902948955512266,0.18017591580747827
49,0.9295230119890402,0.17192117641469085
50,0.958888836096989,0.1636842542880219
51,0.9938556167941589,0.1526749655532853
52,1.0288049761644573,0.1444736779588539
53,1.0651415086869072,0.1376852995676342
54,1.1000821573937696,0.13088801254335525
55,1.1350315167640677,0.12268672494892374
56,1.172755222438669,0.11731125576091594
57,1.200707741404159,0.11187342614149276
